stars,forks,watchers,issues,age_days,commits,popular
194456,75258,194456,4132,3801,192104,1
244389,50886,244389,1210,4698,21445,1
183417,38956,183417,16005,3865,150111,1
98795,27397,98795,18240,3521,102029,1
63926,19744,63926,278,4025,12241,1
31726,12229,31726,2343,5681,40991,0
87169,33802,87169,419,5089,34434,1
80333,41876,80333,484,4915,60596,1
100098,27144,100098,1128,4216,36974,1
175826,30214,175826,12524,4046,88976,1
