stars,forks,watchers,issues,age_days,commits,popularity_score
50,7,50,75,1457,100,28.9
50,17,50,1,1378,100,38.3
50,9,50,43,2668,100,32.5
50,5,50,1,3558,100,35.9
50,11,50,0,2040,100,37.2
50,8,50,1,1289,100,36.5
50,5,50,0,1247,100,36.0
50,13,50,4,2262,100,37.2
50,24,50,0,4481,100,39.8
50,11,50,1,1202,100,37.1
50,4,50,4,1264,100,35.4
50,11,50,3,1802,100,36.900000000000006
50,68,50,3,3107,100,48.300000000000004
50,9,50,0,1657,100,36.8
50,27,50,25,3991,100,37.9
50,41,50,1,1901,100,43.1
50,9,50,0,565,100,36.8
50,17,50,0,2823,100,38.4
50,22,50,2,1385,100,39.199999999999996
50,42,50,4,1569,100,43.0
50,1,50,21,1222,100,33.1
50,39,50,45,3200,100,38.3
50,18,50,15,4239,100,37.1
50,12,50,2,1749,100,37.199999999999996
50,15,50,2,2233,100,37.8
50,16,50,0,3255,100,38.2
50,22,50,1,3266,100,39.3
50,5,50,1,4021,100,35.9
50,20,50,0,740,100,39.0
50,16,50,1,3126,100,38.1
50,5,50,0,2712,100,36.0
50,3,50,0,2058,100,35.6
50,27,50,0,2962,100,40.4
50,5,50,2,3110,100,35.8
50,26,50,5,2191,100,39.7
50,6,50,8,3005,100,35.400000000000006
50,9,50,6,4204,100,36.199999999999996
50,6,50,1,4104,100,36.1
50,0,50,0,402,100,35.0
50,3,50,0,1727,100,35.6
50,15,50,5,2622,100,37.5
50,25,50,0,3086,100,40.0
50,7,50,0,1711,100,36.4
50,6,50,0,1028,100,36.2
50,16,50,0,528,100,38.2
50,4,50,1,935,100,35.699999999999996
50,32,50,10,2436,100,40.4
50,11,50,10,3105,100,36.2
50,3,50,2,1522,100,35.4
50,8,50,0,999,100,36.6
50,15,50,0,1437,100,38.0
50,7,50,5,2861,100,35.9
50,6,50,3,3868,100,35.900000000000006
50,47,50,21,1679,100,42.3
50,9,50,7,1104,100,36.099999999999994
50,16,50,8,3154,100,37.400000000000006
50,5,50,16,1066,100,34.4
50,5,50,4,4409,100,35.6
50,5,50,1,865,100,35.9
50,8,50,0,268,100,36.6
50,6,50,0,3505,100,36.2
